epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,16663.1,0.79644,1.46058,1.26926,0.66952,0.47532,0.5142,0.38921,0.79538,1.34905,1.18892,0.005149,0.005149,0.005149
100,16805,0.78826,1.44642,1.26469,0.67116,0.47601,0.51545,0.3924,0.79404,1.34465,1.18841,0.0050995,0.0050995,0.0050995
101,16950.5,0.78337,1.43752,1.26251,0.70027,0.45131,0.51582,0.38906,0.79379,1.34206,1.18769,0.00505,0.00505,0.00505
102,17093.7,0.78658,1.43224,1.26462,0.68145,0.46958,0.5157,0.3886,0.79155,1.33993,1.18713,0.0050005,0.0050005,0.0050005
103,17236.9,0.77366,1.40766,1.25188,0.69362,0.45709,0.51728,0.38901,0.79024,1.33782,1.18626,0.004951,0.004951,0.004951
104,17381.4,0.7837,1.42298,1.2585,0.69724,0.45587,0.51787,0.38884,0.78949,1.33417,1.18586,0.0049015,0.0049015,0.0049015
105,17523.7,0.78031,1.41135,1.25787,0.71322,0.44951,0.51959,0.39246,0.78776,1.33381,1.18459,0.004852,0.004852,0.004852
106,17670,0.78483,1.41222,1.25697,0.70084,0.45896,0.52369,0.39346,0.7868,1.33129,1.18372,0.0048025,0.0048025,0.0048025
107,17815.4,0.77221,1.40032,1.2512,0.71021,0.45067,0.52451,0.39348,0.78639,1.32886,1.18329,0.004753,0.004753,0.004753
108,17959,0.76794,1.39979,1.25268,0.70027,0.45986,0.52526,0.39352,0.78645,1.32761,1.18341,0.0047035,0.0047035,0.0047035
109,18104.4,0.7683,1.38766,1.25205,0.70095,0.45993,0.52647,0.39302,0.78737,1.32444,1.18388,0.004654,0.004654,0.004654
110,18245.5,0.76642,1.38576,1.24747,0.70643,0.4547,0.52661,0.39214,0.78761,1.32098,1.18375,0.0046045,0.0046045,0.0046045
111,18392.4,0.77513,1.40016,1.25709,0.70344,0.4577,0.52622,0.39233,0.78767,1.3178,1.18353,0.004555,0.004555,0.004555
112,18537.2,0.76912,1.37425,1.24884,0.70094,0.45895,0.52645,0.39194,0.78688,1.31549,1.18227,0.0045055,0.0045055,0.0045055
113,18680.7,0.76269,1.3663,1.24469,0.52419,0.53905,0.52263,0.39021,0.78671,1.31339,1.18187,0.004456,0.004456,0.004456
114,18828.3,0.75615,1.36041,1.24265,0.53169,0.53992,0.52353,0.39122,0.7864,1.31064,1.18158,0.0044065,0.0044065,0.0044065
115,18970.2,0.76361,1.35814,1.2443,0.56875,0.53803,0.52585,0.38944,0.78563,1.30771,1.18069,0.004357,0.004357,0.004357
116,19116,0.75338,1.35428,1.23454,0.5715,0.53725,0.52686,0.38983,0.78526,1.306,1.18008,0.0043075,0.0043075,0.0043075
117,19259.7,0.75486,1.35154,1.24259,0.57287,0.53756,0.52662,0.39016,0.78278,1.30528,1.17802,0.004258,0.004258,0.004258
118,19403.7,0.74881,1.3468,1.23877,0.57274,0.53621,0.52702,0.39491,0.78128,1.30379,1.17667,0.0042085,0.0042085,0.0042085
119,19549.9,0.7503,1.33483,1.23966,0.57796,0.52759,0.5217,0.39151,0.7798,1.30139,1.17583,0.004159,0.004159,0.004159
120,19692,0.74914,1.33943,1.23239,0.57799,0.52399,0.52697,0.39274,0.77876,1.29835,1.17404,0.0041095,0.0041095,0.0041095
121,19839.3,0.74793,1.33186,1.23334,0.57881,0.52017,0.52784,0.39739,0.77766,1.29617,1.17274,0.00406,0.00406,0.00406
122,19982.9,0.74159,1.33998,1.22834,0.57635,0.51586,0.52782,0.39735,0.77614,1.29352,1.1711,0.0040105,0.0040105,0.0040105
123,20125.7,0.73655,1.31088,1.22401,0.57802,0.51098,0.52591,0.3967,0.77518,1.2909,1.17018,0.003961,0.003961,0.003961
124,20272.8,0.74617,1.31601,1.23091,0.57973,0.50926,0.52574,0.39653,0.77415,1.28848,1.16893,0.0039115,0.0039115,0.0039115
125,20414.8,0.7391,1.30228,1.22664,0.57757,0.50992,0.52664,0.40265,0.77298,1.28595,1.16784,0.003862,0.003862,0.003862
126,20564,0.73097,1.30311,1.22401,0.57156,0.51003,0.52739,0.39985,0.77296,1.28379,1.16778,0.0038125,0.0038125,0.0038125
127,20707.8,0.73049,1.29629,1.22023,0.56606,0.51017,0.5281,0.39849,0.7722,1.28211,1.16728,0.003763,0.003763,0.003763
128,20852.1,0.72801,1.29047,1.22076,0.56902,0.50848,0.52902,0.39934,0.77109,1.28048,1.16661,0.0037135,0.0037135,0.0037135
129,20998.4,0.73109,1.29492,1.22185,0.56598,0.50844,0.52861,0.39715,0.77078,1.27929,1.16612,0.003664,0.003664,0.003664
130,21140.5,0.72442,1.29646,1.21759,0.56493,0.50981,0.52856,0.39671,0.77028,1.2776,1.16568,0.0036145,0.0036145,0.0036145
131,21287.7,0.72385,1.27972,1.21383,0.56093,0.5165,0.52952,0.398,0.76914,1.27585,1.16451,0.003565,0.003565,0.003565
132,21431,0.71602,1.26802,1.21171,0.56179,0.51782,0.53036,0.39872,0.76758,1.27384,1.16293,0.0035155,0.0035155,0.0035155
133,21574.1,0.7205,1.28006,1.21648,0.56184,0.51675,0.53063,0.40041,0.76656,1.2717,1.16201,0.003466,0.003466,0.003466
134,21720.2,0.71834,1.27292,1.21467,0.59836,0.48281,0.53266,0.40081,0.76584,1.26958,1.16131,0.0034165,0.0034165,0.0034165
135,21860.6,0.71579,1.25871,1.20807,0.5743,0.50853,0.53289,0.40139,0.76496,1.26748,1.16042,0.003367,0.003367,0.003367
136,22008.5,0.71933,1.25495,1.2113,0.56172,0.52144,0.53285,0.40171,0.76497,1.26553,1.16032,0.0033175,0.0033175,0.0033175
137,22152.3,0.71036,1.26069,1.20726,0.56092,0.52343,0.53322,0.40209,0.76388,1.26359,1.15929,0.003268,0.003268,0.003268
138,22296.2,0.69998,1.23132,1.19985,0.56194,0.524,0.53248,0.40287,0.76305,1.25981,1.15836,0.0032185,0.0032185,0.0032185
139,22444.8,0.70646,1.23664,1.20246,0.56536,0.52679,0.5338,0.40301,0.76111,1.25943,1.15629,0.003169,0.003169,0.003169
140,22586.5,0.70544,1.23646,1.19939,0.56859,0.52857,0.53463,0.40388,0.76008,1.25733,1.15564,0.0031195,0.0031195,0.0031195
141,22733.3,0.7016,1.23027,1.19982,0.57293,0.53107,0.53539,0.40574,0.75843,1.2544,1.15369,0.00307,0.00307,0.00307
142,22876.1,0.69827,1.23262,1.1991,0.57227,0.53102,0.53684,0.40849,0.75712,1.25138,1.1527,0.0030205,0.0030205,0.0030205
143,23020.3,0.69881,1.2297,1.1983,0.57362,0.53343,0.53713,0.40913,0.75542,1.24859,1.15107,0.002971,0.002971,0.002971
144,23167.4,0.69198,1.2055,1.19217,0.57567,0.5279,0.53735,0.40951,0.75399,1.2462,1.1498,0.0029215,0.0029215,0.0029215
145,23309.4,0.68874,1.21333,1.19608,0.5788,0.53406,0.53671,0.40892,0.75293,1.24415,1.1485,0.002872,0.002872,0.002872
146,23456.1,0.69253,1.20626,1.19494,0.57989,0.53009,0.53758,0.41088,0.75214,1.24212,1.14796,0.0028225,0.0028225,0.0028225
147,23598.6,0.68451,1.19765,1.18705,0.58427,0.53324,0.54021,0.41127,0.75067,1.24052,1.14603,0.002773,0.002773,0.002773
148,23743,0.69066,1.19811,1.19372,0.58591,0.53404,0.54013,0.41121,0.75036,1.23759,1.14542,0.0027235,0.0027235,0.0027235
149,23889.9,0.68819,1.1987,1.19327,0.58686,0.53431,0.54056,0.41003,0.7494,1.23528,1.14424,0.002674,0.002674,0.002674
150,24031.5,0.68525,1.18932,1.1874,0.65507,0.5189,0.55097,0.41464,0.74777,1.23281,1.14302,0.0026245,0.0026245,0.0026245
151,24177.1,0.6812,1.18286,1.18438,0.65443,0.51851,0.55113,0.41517,0.74748,1.23031,1.14265,0.002575,0.002575,0.002575
152,24320.1,0.68068,1.17092,1.18574,0.65366,0.51939,0.55106,0.41569,0.74693,1.22896,1.14197,0.0025255,0.0025255,0.0025255
153,24463.5,0.67909,1.18161,1.18582,0.65434,0.52009,0.55118,0.41621,0.74741,1.22761,1.14248,0.002476,0.002476,0.002476
154,24608.2,0.67483,1.17296,1.18543,0.66206,0.51941,0.55274,0.41826,0.74573,1.22638,1.14128,0.0024265,0.0024265,0.0024265
155,24749,0.67491,1.16381,1.17865,0.65479,0.51797,0.55195,0.41854,0.74461,1.22512,1.13994,0.002377,0.002377,0.002377
156,24896.4,0.67236,1.15892,1.18038,0.65593,0.51758,0.5521,0.41886,0.74389,1.22367,1.13934,0.0023275,0.0023275,0.0023275
157,25039.6,0.67817,1.16208,1.1818,0.65585,0.51532,0.55299,0.42107,0.74293,1.22236,1.13805,0.002278,0.002278,0.002278
158,25184.2,0.67372,1.15931,1.17632,0.65591,0.51522,0.55381,0.42113,0.74243,1.22027,1.13779,0.0022285,0.0022285,0.0022285
159,25331.5,0.66564,1.15668,1.17692,0.65567,0.51544,0.55556,0.42217,0.74018,1.21747,1.13593,0.002179,0.002179,0.002179
160,25472.7,0.66898,1.14939,1.17972,0.6564,0.51538,0.55647,0.42216,0.7392,1.21646,1.13514,0.0021295,0.0021295,0.0021295
161,25620.1,0.66008,1.13271,1.17198,0.65763,0.51673,0.5557,0.42392,0.73816,1.21468,1.13436,0.00208,0.00208,0.00208
162,25763.6,0.66337,1.13991,1.17383,0.65708,0.51139,0.55748,0.42704,0.73749,1.21251,1.13337,0.0020305,0.0020305,0.0020305
163,25909.4,0.66389,1.1377,1.17039,0.65895,0.51168,0.55765,0.42676,0.7371,1.2098,1.13342,0.001981,0.001981,0.001981
164,26055.9,0.65817,1.1246,1.16931,0.66163,0.51166,0.5585,0.42774,0.73579,1.20852,1.13253,0.0019315,0.0019315,0.0019315
165,26198.7,0.65107,1.12114,1.16845,0.66243,0.50884,0.55933,0.42859,0.73411,1.20775,1.13112,0.001882,0.001882,0.001882
166,26344.4,0.65557,1.11917,1.16845,0.66619,0.51484,0.56023,0.43094,0.73383,1.20642,1.13099,0.0018325,0.0018325,0.0018325
167,26486.7,0.64835,1.11707,1.16538,0.66258,0.51731,0.56078,0.43134,0.73272,1.2046,1.13021,0.001783,0.001783,0.001783
168,26631.8,0.64576,1.11204,1.16107,0.65355,0.5092,0.55839,0.4338,0.7321,1.20241,1.13006,0.0017335,0.0017335,0.0017335
169,26776.8,0.64298,1.10957,1.16093,0.66161,0.51011,0.55903,0.43214,0.73114,1.20136,1.12936,0.001684,0.001684,0.001684
170,26918.9,0.64285,1.09884,1.15984,0.66185,0.51205,0.55952,0.43344,0.7303,1.19969,1.12834,0.0016345,0.0016345,0.0016345
171,27088.5,0.6376,0.98051,1.16048,0.66858,0.50755,0.56123,0.43352,0.73081,1.19967,1.12907,0.001585,0.001585,0.001585
172,27229.5,0.62167,0.92355,1.14637,0.61036,0.53354,0.55335,0.42984,0.72998,1.19996,1.12852,0.0015355,0.0015355,0.0015355
173,27373.2,0.60902,0.90109,1.14427,0.62005,0.53089,0.55764,0.43128,0.72943,1.19932,1.12805,0.001486,0.001486,0.001486
174,27517.9,0.60311,0.88654,1.13596,0.62726,0.52865,0.55833,0.43107,0.72987,1.19855,1.12763,0.0014365,0.0014365,0.0014365
175,27659.2,0.60265,0.87102,1.1305,0.63042,0.52924,0.56042,0.43292,0.7286,1.19776,1.12733,0.001387,0.001387,0.001387
176,27804.6,0.59006,0.8539,1.12662,0.62777,0.53151,0.57054,0.44147,0.72794,1.19827,1.12602,0.0013375,0.0013375,0.0013375
177,27946.5,0.58834,0.84198,1.12664,0.63656,0.52763,0.57153,0.44241,0.72651,1.19769,1.12479,0.001288,0.001288,0.001288
178,28089.9,0.58188,0.83225,1.12272,0.6395,0.52526,0.57221,0.44218,0.72548,1.1961,1.12419,0.0012385,0.0012385,0.0012385
179,28233.5,0.57588,0.82956,1.1191,0.63634,0.52379,0.5725,0.4427,0.72433,1.19666,1.12354,0.001189,0.001189,0.001189
