epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,10505.3,0.84072,1.57557,1.30822,0.59674,0.51839,0.4987,0.36351,0.84013,1.37714,1.22297,0.006238,0.006238,0.006238
78,10639.6,0.84498,1.58239,1.30923,0.61091,0.50504,0.50414,0.36583,0.83806,1.37372,1.22057,0.0061885,0.0061885,0.0061885
79,10778.7,0.84564,1.58521,1.30955,0.64823,0.48317,0.50213,0.36325,0.83413,1.36935,1.21685,0.006139,0.006139,0.006139
80,10915.9,0.83746,1.56404,1.30258,0.65204,0.50984,0.50829,0.36263,0.83317,1.3634,1.21666,0.0060895,0.0060895,0.0060895
81,11051.5,0.83597,1.5464,1.30127,0.65762,0.5092,0.50638,0.36626,0.83093,1.36194,1.21425,0.00604,0.00604,0.00604
82,11186.8,0.83792,1.55694,1.2995,0.6487,0.51305,0.50532,0.36832,0.8292,1.35886,1.21416,0.0059905,0.0059905,0.0059905
83,11321.6,0.82794,1.54105,1.29511,0.64002,0.51692,0.50239,0.36408,0.82769,1.35488,1.21223,0.005941,0.005941,0.005941
84,11458.5,0.8274,1.53706,1.2969,0.64658,0.51488,0.5034,0.36556,0.82684,1.35081,1.21171,0.0058915,0.0058915,0.0058915
85,11595.4,0.82649,1.53464,1.29104,0.63366,0.51706,0.50893,0.37242,0.82641,1.34677,1.21163,0.005842,0.005842,0.005842
86,11729.5,0.82632,1.52174,1.29176,0.61863,0.52236,0.5073,0.37014,0.82439,1.34413,1.21015,0.0057925,0.0057925,0.0057925
87,11866.8,0.8239,1.50969,1.28661,0.6171,0.52126,0.51371,0.37496,0.82424,1.343,1.21035,0.005743,0.005743,0.005743
88,12002,0.82414,1.50888,1.29341,0.65346,0.49789,0.52066,0.37675,0.8225,1.34037,1.20954,0.0056935,0.0056935,0.0056935
89,12138.7,0.82096,1.50133,1.28774,0.65067,0.47742,0.52619,0.38119,0.82222,1.33726,1.20988,0.005644,0.005644,0.005644
90,12274.2,0.81974,1.49769,1.28877,0.65655,0.47061,0.52662,0.38052,0.82162,1.33573,1.20948,0.0055945,0.0055945,0.0055945
91,12409.9,0.81404,1.49988,1.28081,0.65678,0.47082,0.52718,0.38045,0.81994,1.33578,1.20817,0.005545,0.005545,0.005545
92,12546.4,0.81001,1.47849,1.27767,0.63003,0.49633,0.53049,0.3873,0.81847,1.33405,1.20824,0.0054955,0.0054955,0.0054955
93,12682.4,0.80881,1.47314,1.28062,0.62565,0.51223,0.53549,0.38182,0.81544,1.3326,1.20594,0.005446,0.005446,0.005446
94,12817,0.80237,1.47625,1.27347,0.63199,0.50871,0.53433,0.37917,0.81347,1.33094,1.20381,0.0053965,0.0053965,0.0053965
95,12953.6,0.80269,1.46945,1.27363,0.63487,0.51198,0.53723,0.3823,0.8118,1.32689,1.20296,0.005347,0.005347,0.005347
96,13087,0.80654,1.47648,1.27954,0.63279,0.51386,0.53721,0.38655,0.81111,1.32603,1.20196,0.0052975,0.0052975,0.0052975
97,13223.3,0.80016,1.4713,1.27188,0.63757,0.51291,0.53802,0.38776,0.81038,1.32289,1.20159,0.005248,0.005248,0.005248
98,13358.1,0.79492,1.44504,1.27133,0.64282,0.50959,0.53944,0.38815,0.80891,1.32075,1.20042,0.0051985,0.0051985,0.0051985
99,13493.7,0.80211,1.46792,1.27305,0.64474,0.50971,0.53901,0.3898,0.80804,1.31884,1.19989,0.005149,0.005149,0.005149
100,13631.2,0.79121,1.44094,1.26796,0.64039,0.51035,0.54033,0.38946,0.80698,1.31628,1.19917,0.0050995,0.0050995,0.0050995
101,13769.4,0.78559,1.42926,1.26401,0.64309,0.50849,0.54058,0.39041,0.80574,1.31396,1.19854,0.00505,0.00505,0.00505
102,13903,0.78796,1.43324,1.26503,0.64628,0.50842,0.53999,0.39098,0.80391,1.31178,1.19711,0.0050005,0.0050005,0.0050005
103,14038.4,0.77659,1.41254,1.25578,0.65191,0.50803,0.54049,0.39219,0.80168,1.30955,1.19543,0.004951,0.004951,0.004951
104,14173.5,0.78641,1.42317,1.26148,0.65235,0.50851,0.54079,0.39392,0.80066,1.3078,1.19498,0.0049015,0.0049015,0.0049015
105,14308.5,0.78345,1.41494,1.2574,0.66035,0.50758,0.54252,0.39413,0.79901,1.3059,1.1936,0.004852,0.004852,0.004852
106,14443.9,0.7856,1.41846,1.25721,0.65967,0.50867,0.54225,0.3943,0.79816,1.3036,1.19241,0.0048025,0.0048025,0.0048025
107,14578,0.77793,1.40435,1.25219,0.66286,0.50904,0.54283,0.39695,0.79755,1.30108,1.1921,0.004753,0.004753,0.004753
108,14715.7,0.77231,1.39358,1.25523,0.66243,0.50803,0.54315,0.398,0.79637,1.30039,1.19108,0.0047035,0.0047035,0.0047035
109,14852.9,0.76935,1.38761,1.25276,0.65311,0.51302,0.5427,0.39755,0.79533,1.29784,1.19013,0.004654,0.004654,0.004654
110,14987.8,0.76388,1.38557,1.24404,0.65562,0.51297,0.5433,0.39584,0.79456,1.29515,1.18936,0.0046045,0.0046045,0.0046045
111,15124.1,0.77931,1.39523,1.25776,0.65469,0.51304,0.54335,0.39738,0.794,1.29254,1.18858,0.004555,0.004555,0.004555
112,15259.8,0.77153,1.37507,1.24967,0.65107,0.51489,0.54369,0.39699,0.79319,1.29094,1.18797,0.0045055,0.0045055,0.0045055
113,15397.2,0.76801,1.3639,1.24811,0.64733,0.51758,0.54449,0.3981,0.79184,1.28878,1.18676,0.004456,0.004456,0.004456
114,15533,0.76159,1.3726,1.2454,0.64715,0.51966,0.54491,0.39854,0.7911,1.2867,1.18628,0.0044065,0.0044065,0.0044065
115,15666.4,0.76513,1.35949,1.24536,0.63908,0.52283,0.54541,0.39926,0.78958,1.28465,1.18514,0.004357,0.004357,0.004357
116,15803,0.7561,1.35912,1.23775,0.63764,0.5245,0.54587,0.40279,0.7894,1.28223,1.18477,0.0043075,0.0043075,0.0043075
117,15936.1,0.75855,1.35943,1.24389,0.64206,0.52517,0.54633,0.40491,0.78811,1.27965,1.18371,0.004258,0.004258,0.004258
118,16070.3,0.75064,1.35216,1.24066,0.69627,0.49587,0.554,0.4091,0.78693,1.27765,1.18236,0.0042085,0.0042085,0.0042085
119,16206.6,0.75187,1.33276,1.239,0.69329,0.49706,0.55285,0.40966,0.78648,1.27493,1.18188,0.004159,0.004159,0.004159
120,16342,0.75049,1.34982,1.2347,0.6965,0.4984,0.55302,0.4097,0.78589,1.27135,1.18156,0.0041095,0.0041095,0.0041095
121,16477.3,0.75189,1.33836,1.2352,0.70109,0.49879,0.55348,0.41014,0.78489,1.26929,1.18013,0.00406,0.00406,0.00406
122,16613,0.74607,1.34005,1.23166,0.71512,0.49716,0.55535,0.41208,0.78379,1.26757,1.17959,0.0040105,0.0040105,0.0040105
123,16747.2,0.73863,1.3169,1.22524,0.71628,0.4977,0.55648,0.41459,0.78233,1.26542,1.1778,0.003961,0.003961,0.003961
124,16884.4,0.7471,1.3212,1.23189,0.71626,0.49971,0.55714,0.41316,0.78084,1.26237,1.17568,0.0039115,0.0039115,0.0039115
125,17020.6,0.73673,1.31666,1.22633,0.71747,0.50017,0.55765,0.41313,0.78074,1.25925,1.17579,0.003862,0.003862,0.003862
126,17156.6,0.73391,1.30746,1.22444,0.71429,0.50232,0.55799,0.4139,0.77966,1.25599,1.17425,0.0038125,0.0038125,0.0038125
